Player,Span,Years,Inns,R/I,HS,Avg,SR,100/I,50/I
KC Sangakkara (SL),2000-2002,3,42,26.261904761904763,85,29.02,69.50,0.0,0.16666666666666666,
MDKJ Perera (SL),2013-2015,3,43,24.558139534883722,116,26.40,90.72,0.046511627906976744,0.11627906976744186,
WJ Cronje (SA),1992-1994,3,36,28.47222222222222,112,31.06,64.30,0.027777777777777776,0.1111111111111111,
WW Hinds (WI),1999-2001,3,35,28.485714285714284,116,30.21,59.66,0.02857142857142857,0.2,
Basit Ali (PAK),1993-1995,3,28,33.607142857142854,127,39.20,76.25,0.03571428571428571,0.21428571428571427,
JN Rhodes (SA),1992-1994,3,35,26.0,66,31.37,70.65,0.0,0.08571428571428572,
J Charles (WI),2012-2014,3,30,28.966666666666665,130,28.96,80.46,0.06666666666666667,0.06666666666666667,
L Vincent (NZ),2001-2003,3,41,19.658536585365855,60,20.66,57.40,0.0,0.07317073170731707,
BA Edgar (NZ),1978-1981,4,20,34.4,102,45.86,55.04,0.05,0.15,
TM Head (AUS),2016-2018,3,18,37.166666666666664,128,41.81,91.02,0.05555555555555555,0.2222222222222222,
GM Wood (AUS),1978-1981,4,20,32.8,108,34.52,57.24,0.05,0.15,
KD Karthik (INDIA),2006-2010,5,23,25.73913043478261,79,28.19,74.00,0.0,0.13043478260869565,
MA Ouma (KENYA),2004-2007,4,29,19.0,58,19.67,61.08,0.0,0.10344827586206896,
MJ Slater (AUS),1993-1995,3,22,24.0,73,24.00,57.76,0.0,0.18181818181818182,
DM Jones (AUS),1984-1986,3,19,25.94736842105263,99,37.92,81.08,0.0,0.21052631578947367,
Mohammad Hafeez (PAK),2003-2005,3,27,17.814814814814813,69,17.81,51.44,0.0,0.1111111111111111,
Nizakat Khan (HKG),2014-2017,4,12,39.0,94,39.00,84.93,0.0,0.16666666666666666,
Babar Hayat (HKG),2014-2016,3,12,35.416666666666664,82,38.63,80.79,0.0,0.4166666666666667,
MR Marsh (AUS),2014-2016,3,12,34.833333333333336,89,38.00,84.95,0.0,0.25,
G Gambhir (INDIA),2003-2006,4,15,27.2,103,27.20,76.26,0.06666666666666667,0.06666666666666667,
AM Rahane (INDIA),2011-2013,3,16,25.25,91,25.25,72.66,0.0,0.125,
BA Stokes (ENG),2014-2016,3,19,20.36842105263158,70,21.50,86.96,0.0,0.10526315789473684,
Asghar Stanikzai (AFG),2009-2012,4,15,25.6,66,27.42,57.74,0.0,0.2,
CB Wishart (ZIM),1996-1998,3,17,22.176470588235293,102,22.17,70.46,0.058823529411764705,0.0,
AL Logie (WI),1983-1985,3,17,21.352941176470587,88,45.37,87.89,0.0,0.058823529411764705,
CL Cairns (NZ),1992-1995,4,13,26.53846153846154,72,31.36,71.87,0.0,0.07692307692307693,
DB Vengsarkar (INDIA),1978-1981,4,17,20.176470588235293,66,20.17,52.76,0.0,0.11764705882352941,
TM Odoyo (KENYA),2001-2003,3,14,24.428571428571427,51,26.30,68.53,0.0,0.07142857142857142,
DA Marillier (ZIM),2000-2003,4,15,22.066666666666666,100,22.06,65.54,0.06666666666666667,0.06666666666666667,
Javed Omar (BDESH),1998-2001,4,12,27.416666666666668,85,36.55,53.49,0.0,0.25,
Saleem Elahi (PAK),1998-2001,4,11,29.818181818181817,79,32.80,66.93,0.0,0.18181818181818182,
A Flintoff (ENG),2000-2002,3,13,24.0,52,26.00,105.05,0.0,0.15384615384615385,
WM Darling (AUS),1979-1982,4,14,22.071428571428573,74,23.76,56.48,0.0,0.07142857142857142,
ST Jayasuriya (SL),1992-1994,3,19,15.157894736842104,65,16.00,64.71,0.0,0.10526315789473684,
L Siaka (PNG),2014-2017,4,13,22.153846153846153,109,22.15,80.00,0.07692307692307693,0.0,
CS MacLeod (SCOT),2011-2013,3,12,22.75,99,24.81,60.00,0.0,0.08333333333333333,
RS Madugalle (SL),1982-1984,3,12,22.75,60,27.30,58.33,0.0,0.08333333333333333,
MH Dekker (ZIM),1992-1994,3,11,24.727272727272727,79,27.20,49.00,0.0,0.18181818181818182,
HJW Gardiner (SCOT),2013-2015,3,11,23.818181818181817,96,23.81,66.16,0.0,0.18181818181818182,
WV Raman (INDIA),1988-1990,3,13,19.692307692307693,95,19.69,56.01,0.0,0.15384615384615385,
OA Shah (ENG),2001-2003,3,12,21.333333333333332,62,23.27,63.84,0.0,0.16666666666666666,
MJ Prior (ENG),2004-2006,3,11,21.545454545454547,45,21.54,72.25,0.0,0.0,
GEF Barnett (CAN),2006-2008,3,12,18.916666666666668,77,18.91,57.17,0.0,0.08333333333333333,
LMP Simmons (WI),2006-2009,4,11,19.363636363636363,70,21.30,57.10,0.0,0.18181818181818182,
Mansoor Akhtar (PAK),1980-1982,3,11,17.0,40,17.00,60.51,0.0,0.0,
TN Madondo (ZIM),1998-2001,4,12,15.083333333333334,71,16.45,57.27,0.0,0.08333333333333333,
N Kapil Dev (INDIA),1981-1983,3,10,17.8,72,19.77,116.33,0.0,0.1,
DR Smith (WI),2004-2007,4,10,14.7,62,16.33,92.45,0.0,0.1,
SC Ganguly (INDIA),1996-1998,3,62,39.0,124,40.98,69.20,0.06451612903225806,0.24193548387096775,
Mohammad Yousuf (PAK),1998-2000,3,54,33.46296296296296,104,39.28,70.72,0.05555555555555555,0.24074074074074073,
R Dravid (INDIA),1996-1999,4,54,33.111111111111114,123,34.38,64.54,0.037037037037037035,0.2222222222222222,
NJ Astle (NZ),1995-1997,3,40,34.1,120,34.10,71.82,0.1,0.2,
MS Dhoni (Asia/INDIA),2005-2007,3,26,47.03846153846154,183,58.23,99.83,0.07692307692307693,0.2692307692307692,
SPD Smith (AUS),2011-2015,5,24,49.666666666666664,105,56.76,88.62,0.16666666666666666,0.2916666666666667,
KP Pietersen (ENG),2004-2006,3,23,49.56521739130435,116,63.33,96.28,0.13043478260869565,0.34782608695652173,
Nasir Jamshed (PAK),2012-2015,4,36,29.583333333333332,112,30.42,69.51,0.08333333333333333,0.1111111111111111,
DA Warner (AUS),2009-2012,4,34,30.88235294117647,163,30.88,81.83,0.058823529411764705,0.14705882352941177,
DC Boon (AUS),1984-1986,3,31,33.354838709677416,111,33.35,67.18,0.03225806451612903,0.16129032258064516,
NS Sidhu (INDIA),1987-1989,3,23,41.82608695652174,108,43.72,71.15,0.043478260869565216,0.43478260869565216,
TLW Cooper (NL),2010-2012,3,19,48.21052631578947,101,53.88,71.00,0.05263157894736842,0.42105263157894735,
D Mongia (INDIA),2001-2003,3,32,26.34375,159,29.06,70.78,0.03125,0.0625,
C Kieswetter (ENG),2010-2013,4,29,28.724137931034484,107,30.85,94.76,0.034482758620689655,0.1724137931034483,
AR Border (AUS),1979-1981,3,27,27.0,105,29.16,59.55,0.037037037037037035,0.1111111111111111,
JWA Taylor (ENG),2013-2015,3,18,40.166666666666664,101,48.20,77.82,0.05555555555555555,0.3333333333333333,
Aamer Sohail (PAK),1990-1992,3,20,32.8,114,32.80,62.00,0.05,0.2,
SL Campbell (WI),1994-1996,3,25,24.28,86,24.28,54.05,0.0,0.08,
DA Miller (SA),2013-2015,3,15,37.53333333333333,138,56.30,107.64,0.13333333333333333,0.06666666666666667,
MA Atherton (ENG),1990-1994,5,14,39.92857142857143,86,43.00,55.45,0.0,0.35714285714285715,
KJ O'Brien (IRE),2007-2009,3,19,28.894736842105264,142,30.50,80.85,0.05263157894736842,0.10526315789473684,
KA Pollard (WI),2010-2013,4,14,39.142857142857146,109,45.66,111.38,0.07142857142857142,0.21428571428571427,
CM Spearman (NZ),1995-1998,4,30,17.7,78,17.70,78.20,0.0,0.06666666666666667,
HK Badani (INDIA),2000-2002,3,21,24.714285714285715,100,30.52,69.47,0.047619047619047616,0.14285714285714285,
GM Ritchie (AUS),1984-1986,3,22,21.636363636363637,84,25.05,59.87,0.0,0.13636363636363635,
Mudassar Nazar (PAK),1978-1982,5,16,29.25,79,29.25,51.48,0.0,0.25,
ME Waugh (AUS),1988-1991,4,21,22.285714285714285,67,24.63,86.98,0.0,0.09523809523809523,
SV Manjrekar (INDIA),1988-1991,4,13,34.15384615384615,82,40.36,59.83,0.0,0.3076923076923077,
AD Mathews (SL),2009-2013,5,17,24.41176470588235,75,41.50,92.63,0.0,0.17647058823529413,
PL Mommsen (SCOT),2010-2013,4,16,24.0,91,27.42,57.57,0.0,0.1875,
ES Szwarczynski (NL),2006-2008,3,12,31.833333333333332,56,34.72,71.40,0.0,0.3333333333333333,
Shoaib Mohammad (PAK),1984-1987,4,17,22.41176470588235,72,23.81,47.15,0.0,0.17647058823529413,
GJ Maxwell (AUS),2012-2014,3,12,31.583333333333332,93,34.45,125.49,0.0,0.3333333333333333,
CJ Anderson (NZ),2013-2016,4,12,31.25,131,37.50,147.05,0.08333333333333333,0.0,
Sabbir Rahman (BDESH),2014-2017,4,15,24.933333333333334,65,24.93,85.97,0.0,0.2,
GA Gooch (ENG),1976-1979,4,12,29.833333333333332,94,32.54,59.56,0.0,0.25,
DS Smith (WI),2004-2007,4,14,25.571428571428573,61,29.83,65.80,0.0,0.07142857142857142,
SD Outerbridge (BMUDA),2006-2009,4,23,14.608695652173912,56,14.60,54.90,0.0,0.043478260869565216,
A Symonds (AUS),1999-2001,3,10,33.6,68,37.33,100.90,0.0,0.2,
RD Berrington (SCOT),2009-2013,5,14,23.428571428571427,84,23.42,70.53,0.0,0.21428571428571427,
SR Watson (AUS),2004-2007,4,11,28.545454545454547,79,34.88,82.63,0.0,0.36363636363636365,
GS Blewett (AUS),1995-1997,3,14,22.214285714285715,57,25.91,61.58,0.0,0.14285714285714285,
GS Ballance (ENG),2013-2015,3,14,21.142857142857142,79,21.14,66.96,0.0,0.14285714285714285,
J Mubarak (SL),2003-2006,4,14,19.071428571428573,61,19.07,60.68,0.0,0.14285714285714285,
KJ Hughes (AUS),1977-1980,4,17,15.588235294117647,52,17.66,60.64,0.0,0.11764705882352941,
Jahurul Islam (BDESH),2010-2012,3,10,23.3,53,23.30,69.13,0.0,0.1,
Fawad Alam (PAK),2008-2010,3,11,20.727272727272727,64,28.50,74.26,0.0,0.09090909090909091,
DLS van Bunge (NL),2006-2008,3,13,16.153846153846153,34,17.50,57.06,0.0,0.0,
JDP Oram (NZ),2001-2004,4,10,16.2,59,16.20,88.52,0.0,0.1,
VVS Laxman (INDIA),1998-2000,3,10,6.2,23,6.20,28.18,0.0,0.0,
ME Trescothick (ENG),2000-2002,3,50,36.66,137,37.40,89.02,0.08,0.18,
Yasir Hameed (PAK),2003-2005,3,46,37.108695652173914,127,37.93,68.47,0.06521739130434782,0.1956521739130435,
JJ Roy (ENG),2015-2017,3,45,32.48888888888889,162,34.00,101.10,0.06666666666666667,0.2,
HJH Marshall (NZ),2003-2006,4,46,25.282608695652176,101,29.82,71.13,0.021739130434782608,0.21739130434782608,
ND McKenzie (SA),2000-2002,3,33,33.90909090909091,131,39.96,67.28,0.06060606060606061,0.15151515151515152,
JD Ryder (NZ),2008-2011,4,30,34.7,107,35.89,90.99,0.06666666666666667,0.16666666666666666,
A Flower (ZIM),1992-1995,4,33,31.151515151515152,115,33.16,67.67,0.030303030303030304,0.21212121212121213,
RR Rossouw (SA),2014-2016,3,29,34.241379310344826,132,35.46,91.26,0.06896551724137931,0.20689655172413793,
SE Marsh (AUS),2008-2010,3,26,37.96153846153846,112,39.48,76.15,0.038461538461538464,0.2692307692307692,
HM Amla (SA),2008-2010,3,23,42.130434782608695,140,48.45,84.18,0.043478260869565216,0.30434782608695654,
MD Gunathilaka (SL),2015-2017,3,30,30.533333333333335,116,30.53,85.76,0.03333333333333333,0.23333333333333334,
Asad Shafiq (PAK),2010-2012,3,33,27.606060606060606,78,30.36,68.91,0.0,0.21212121212121213,
A Bagai (CAN),2006-2008,3,30,29.933333333333334,137,33.25,63.01,0.06666666666666667,0.2,
GP Thorpe (ENG),1994-1996,3,23,37.56521739130435,89,45.47,70.99,0.0,0.34782608695652173,
MJ Greatbatch (NZ),1988-1990,3,30,28.733333333333334,111,33.15,74.82,0.06666666666666667,0.13333333333333333,
JG Wright (NZ),1978-1981,4,22,36.04545454545455,81,37.76,52.23,0.0,0.2727272727272727,
PV Simmons (WI),1987-1989,3,25,31.48,104,32.79,74.03,0.04,0.2,
GA Hick (ENG),1991-1993,3,23,33.69565217391305,105,38.75,76.65,0.043478260869565216,0.2608695652173913,
MG Bevan (AUS),1994-1997,4,20,37.85,103,47.31,69.25,0.05,0.2,
Haris Sohail (PAK),2013-2015,3,18,40.388888888888886,89,48.46,81.41,0.0,0.3888888888888889,
JM How (NZ),2005-2008,4,18,39.888888888888886,139,42.23,72.96,0.05555555555555555,0.3333333333333333,
NJ O'Brien (IRE),2006-2008,3,29,24.413793103448278,72,25.28,64.89,0.0,0.2413793103448276,
TD Paine (AUS),2009-2011,3,24,29.208333333333332,111,29.20,68.45,0.041666666666666664,0.20833333333333334,
RA Smith (ENG),1988-1990,3,19,36.36842105263158,128,43.18,74.14,0.10526315789473684,0.21052631578947367,
L Klusener (SA),1996-1998,3,23,28.73913043478261,99,30.04,83.45,0.0,0.21739130434782608,
TM Moody (AUS),1990-1992,3,23,28.73913043478261,89,30.04,65.05,0.0,0.30434782608695654,
A Balbirnie (IRE),2014-2017,4,28,23.571428571428573,97,25.38,73.41,0.0,0.14285714285714285,
MA Taylor (AUS),1989-1991,3,19,33.473684210526315,76,33.47,59.88,0.0,0.3157894736842105,
MS Sinclair (NZ),2000-2002,3,23,26.782608695652176,118,28.00,62.03,0.08695652173913043,0.13043478260869565,
CJ Nevin (NZ),2000-2002,3,25,23.84,74,23.84,79.78,0.0,0.16,
KO Otieno (KENYA),1996-1998,3,18,31.333333333333332,144,33.17,64.38,0.05555555555555555,0.1111111111111111,
JJ Crowe (NZ),1983-1985,3,29,18.93103448275862,57,22.87,58.71,0.0,0.13793103448275862,
SM Patil (INDIA),1980-1983,4,20,26.1,84,27.47,96.30,0.0,0.3,
RP Arnold (SL),1997-2000,4,18,27.833333333333332,103,31.31,67.33,0.05555555555555555,0.1111111111111111,
SO Tikolo (KENYA),1996-1998,3,19,26.36842105263158,96,26.36,73.78,0.0,0.21052631578947367,
PD Collingwood (ENG),2001-2003,3,11,41.72727272727273,100,57.37,84.06,0.09090909090909091,0.2727272727272727,
MS Wade (AUS),2012-2014,3,18,25.0,75,25.00,65.59,0.0,0.16666666666666666,
Asif Mujtaba (PAK),1992-1994,3,14,31.428571428571427,113,40.00,65.96,0.07142857142857142,0.14285714285714285,
MW Gatting (ENG),1980-1984,5,14,29.214285714285715,96,40.90,71.62,0.0,0.14285714285714285,
JC Buttler (ENG),2014-2017,4,10,39.4,116,49.25,145.92,0.2,0.1,
GS Chappell (AUS),1972-1975,4,11,35.54545454545455,75,43.44,77.88,0.0,0.18181818181818182,
AJ Hall (SA),2000-2002,3,17,22.647058823529413,81,22.64,69.24,0.0,0.058823529411764705,
R Mutumbami (ZIM),2014-2016,3,18,20.666666666666668,74,20.66,71.12,0.0,0.1111111111111111,
RM Haq (SCOT),2007-2009,3,15,24.6,71,24.60,68.58,0.0,0.2,
HS Modi (KENYA),1996-1998,3,10,32.0,71,32.00,70.02,0.0,0.3,
CJ Ferguson (AUS),2009-2011,3,11,27.90909090909091,71,38.37,89.76,0.0,0.18181818181818182,
PJ Moor (ZIM),2015-2017,3,13,19.53846153846154,52,21.16,58.93,0.0,0.15384615384615385,
PW Borren (NL),2007-2010,4,12,20.75,96,20.75,84.69,0.0,0.16666666666666666,
JR Ratnayeke (SL),1985-1987,3,10,17.4,50,17.40,38.32,0.0,0.1,
FDM Karunaratne (SL),2011-2015,5,11,14.727272727272727,60,14.72,64.54,0.0,0.09090909090909091,
RW Chakabva (ZIM),2010-2014,5,10,15.0,45,15.00,48.23,0.0,0.0,
