Player,Span,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
LJ Wright (ENG),2007-2010,30,0.1,19.433333333333334,21.59,90.10,0.0,0.06666666666666667,0.10510046367851623
SE Marsh (AUS),2008-2009,15,0.06666666666666667,38.8,41.57,75.09,0.0,0.3333333333333333,0.07870967741935483
CR Ervine (ZIM),2010-2011,21,0.14285714285714285,27.666666666666668,32.27,75.65,0.0,0.19047619047619047,0.0703125
Javed Ahmadi (AFG),2012-2016,23,0.0,25.17391304347826,25.17,81.32,0.0,0.21739130434782608,0.10955056179775281
D Ramdin (WI),2006-2010,39,0.1794871794871795,14.76923076923077,18.00,74.61,0.0,0.02564102564102564,0.06476683937823834
HM Amla (SA),2008-2009,14,0.21428571428571427,40.5,51.54,86.56,0.07142857142857142,0.21428571428571427,0.09770992366412214
BKG Mendis (SL),2016-2016,15,0.06666666666666667,37.4,40.07,91.21,0.0,0.4666666666666667,0.12845528455284552
MA Vermeulen (ZIM),2002-2004,31,0.12903225806451613,18.096774193548388,20.77,71.10,0.0,0.12903225806451613,0.10266159695817491
T Mishra (KENYA),2007-2012,20,0.15,27.75,32.64,74.19,0.0,0.25,0.06550802139037433
T Duffin (ZIM),2006-2007,23,0.0,23.73913043478261,23.73,54.98,0.0,0.13043478260869565,0.05740181268882175
Mominul Haque (BDESH),2012-2015,23,0.043478260869565216,23.47826086956522,24.54,74.48,0.0,0.13043478260869565,0.08275862068965517
Noor Ali Zadran (AFG),2009-2014,19,0.05263157894736842,28.31578947368421,29.88,71.07,0.05263157894736842,0.10526315789473684,0.07793923381770146
Najibullah Zadran (AFG),2014-2016,24,0.041666666666666664,22.0,22.95,81.35,0.0,0.16666666666666666,0.09861325115562404
Asghar Stanikzai (AFG),2009-2013,25,0.16,20.44,24.33,55.18,0.0,0.12,0.04319654427645788
MS Sinclair (NZ),2001-2001,16,0.0625,31.8125,33.93,64.59,0.125,0.125,0.0532994923857868
ND McKenzie (SA),2001-2001,13,0.38461538461538464,38.76923076923077,63.00,74.88,0.07692307692307693,0.15384615384615385,0.07280832095096583
NJ O'Brien (IRE),2006-2007,21,0.0,23.952380952380953,23.95,63.75,0.0,0.23809523809523808,0.05576679340937896
NLTC Perera (SL),2009-2015,37,0.13513513513513514,13.162162162162161,15.21,118.49,0.0,0.05405405405405406,0.145985401459854
WW Hinds (WI),2001-2002,22,0.09090909090909091,22.0,24.20,66.48,0.0,0.18181818181818182,0.06043956043956044
BG Rogers (ZIM),2002-2005,15,0.0,31.866666666666667,31.86,69.37,0.0,0.3333333333333333,0.0899854862119013
MJ Prior (ENG),2004-2007,22,0.0,21.318181818181817,21.31,72.93,0.0,0.045454545454545456,0.09331259720062209
RD Berrington (SCOT),2008-2013,21,0.047619047619047616,21.38095238095238,22.45,77.28,0.0,0.19047619047619047,0.07228915662650602
Taufeeq Umar (PAK),2001-2005,19,0.05263157894736842,23.526315789473685,24.83,57.45,0.0,0.15789473684210525,0.061696658097686374
DA Marillier (ZIM),2001-2003,26,0.11538461538461539,17.076923076923077,19.30,70.14,0.038461538461538464,0.07692307692307693,0.061611374407582936
ME Trescothick (ENG),2001-2001,14,0.0,31.571428571428573,31.57,81.39,0.07142857142857142,0.14285714285714285,0.10313075506445672
DLS van Bunge (NL),2003-2008,20,0.05,21.5,22.63,60.56,0.0,0.1,0.06619718309859154
Babar Hayat (HKG),2014-2016,12,0.08333333333333333,35.416666666666664,38.63,80.79,0.0,0.4166666666666667,0.10836501901140684
Alok Kapali (BDESH),2004-2008,29,0.0,14.551724137931034,14.55,72.63,0.034482758620689655,0.034482758620689655,0.07401032702237521
A Balbirnie (IRE),2014-2015,17,0.058823529411764705,24.823529411764707,26.37,69.86,0.0,0.11764705882352941,0.06788079470198675
AN Kervezee (NL),2010-2012,15,0.06666666666666667,27.933333333333334,29.92,85.33,0.0,0.13333333333333333,0.1079429735234216
HK Badani (INDIA),2001-2002,20,0.2,20.8,26.00,69.44,0.05,0.05,0.06844741235392321
TM Head (AUS),2016-2016,14,0.0,29.714285714285715,29.71,86.12,0.0,0.21428571428571427,0.09316770186335403
MF Maharoof (SL),2004-2009,28,0.21428571428571427,14.642857142857142,18.63,84.88,0.0,0.03571428571428571,0.08902691511387163
Mohammad Rizwan (PAK),2015-2016,18,0.2777777777777778,22.72222222222222,31.46,94.89,0.0,0.16666666666666666,0.0951276102088167
PL Mommsen (SCOT),2010-2013,19,0.10526315789473684,21.473684210526315,24.00,56.04,0.0,0.15789473684210525,0.04945054945054945
Rahmat Shah (AFG),2014-2016,13,0.07692307692307693,30.923076923076923,33.50,65.79,0.07692307692307693,0.07692307692307693,0.049099836333878884
DS Smith (WI),2003-2007,17,0.11764705882352941,23.176470588235293,26.26,65.77,0.0,0.058823529411764705,0.07345575959933222
ES Szwarczynski (NL),2006-2008,13,0.07692307692307693,30.307692307692307,32.83,69.61,0.0,0.3076923076923077,0.07243816254416961
SMA Priyanjan (SL),2013-2015,19,0.05263157894736842,20.05263157894737,21.16,75.14,0.0,0.10526315789473684,0.08284023668639054
MD Gunathilaka (SL),2015-2016,15,0.0,25.133333333333333,25.13,89.97,0.0,0.2,0.10978520286396182
CO Obuya (KENYA),2001-2007,20,0.05,18.75,19.73,67.56,0.0,0.05,0.04864864864864865
CA Ingram (SA),2010-2011,11,0.18181818181818182,34.0,41.55,89.26,0.18181818181818182,0.0,0.09307875894988067
RM Haq (SCOT),2007-2007,15,0.0,24.533333333333335,24.53,69.04,0.0,0.2,0.09193245778611632
TJ Friend (ZIM),2002-2004,16,0.0,22.4375,22.43,86.29,0.0,0.1875,0.10817307692307693
JWM Dalrymple (ENG),2006-2006,13,0.0,27.384615384615383,27.38,74.78,0.0,0.15384615384615385,0.0546218487394958
Hannan Sarkar (BDESH),2003-2004,16,0.0,22.1875,22.18,55.46,0.0,0.1875,0.0578125
PD Collingwood (ENG),2001-2002,18,0.2222222222222222,19.61111111111111,25.21,77.58,0.0,0.16666666666666666,0.06593406593406594
Nizakat Khan (HKG),2014-2016,10,0.0,35.0,35.00,83.53,0.0,0.1,0.1026252983293556
IA Karim (KENYA),2013-2014,7,0.0,49.0,49.00,73.92,0.2857142857142857,0.14285714285714285,0.07758620689655173
SD Outerbridge (BMUDA),2006-2009,23,0.0,14.608695652173912,14.60,54.90,0.0,0.043478260869565216,0.05228758169934641
GEF Barnett (CAN),2006-2009,16,0.0,20.75,20.75,61.59,0.0,0.0625,0.07792207792207792
Nawroz Mangal (AFG),2009-2010,11,0.2727272727272727,28.90909090909091,39.75,78.13,0.0,0.18181818181818182,0.08108108108108109
CL White (AUS),2005-2009,18,0.3333333333333333,17.5,26.25,95.74,0.0,0.0,0.08206686930091185
HP Rinke (ZIM),2006-2006,17,0.0,18.470588235294116,18.47,84.86,0.0,0.17647058823529413,0.11621621621621622
Farhad Reza (BDESH),2006-2008,16,0.1875,19.0,23.38,77.15,0.0,0.0625,0.09898477157360407
AM Blignaut (ZIM),2001-2004,17,0.17647058823529413,17.823529411764707,21.64,119.29,0.0,0.17647058823529413,0.14566929133858267
J Mubarak (SL),2002-2006,18,0.0,16.666666666666668,16.66,58.82,0.0,0.1111111111111111,0.07254901960784314
GS Ballance (ENG),2013-2015,15,0.06666666666666667,19.8,21.21,67.04,0.0,0.13333333333333333,0.04966139954853273
LMP Simmons (WI),2006-2010,17,0.058823529411764705,17.294117647058822,18.37,56.10,0.0,0.11764705882352941,0.05916030534351145
Naeem Islam (BDESH),2008-2012,19,0.3157894736842105,15.31578947368421,22.38,63.39,0.0,0.10526315789473684,0.06753812636165578
OA Shah (ENG),2001-2003,15,0.13333333333333333,18.866666666666667,21.76,65.96,0.0,0.13333333333333333,0.046620046620046623
ID Blackwell (ENG),2002-2004,16,0.0625,17.5625,18.73,94.93,0.0,0.0625,0.10810810810810811
Faisal Iqbal (PAK),2002-2006,13,0.07692307692307693,21.615384615384617,23.41,63.28,0.07692307692307693,0.0,0.05855855855855856
Haris Sohail (PAK),2013-2014,8,0.125,35.0,40.00,80.69,0.0,0.25,0.07780979827089338
Javed Omar (BDESH),2001-2002,13,0.07692307692307693,21.46153846153846,23.25,50.00,0.0,0.15384615384615385,0.05197132616487455
XM Marshall (WI),2008-2009,14,0.21428571428571427,19.785714285714285,25.18,83.18,0.07142857142857142,0.0,0.11411411411411411
SM Ervine (ZIM),2003-2004,11,0.09090909090909091,24.818181818181817,27.30,74.38,0.09090909090909091,0.09090909090909091,0.07901907356948229
BJ Patel (KENYA),2002-2003,15,0.06666666666666667,18.133333333333333,19.42,54.18,0.0,0.0,0.08565737051792828
MH Cross (SCOT),2014-2016,19,0.0,14.263157894736842,14.26,76.98,0.0,0.05263157894736842,0.08806818181818182
JH Davey (SCOT),2010-2015,11,0.09090909090909091,24.545454545454547,27.00,61.78,0.0,0.09090909090909091,0.059496567505720827
DM de Silva (SL),2016-2016,9,0.1111111111111111,30.0,33.75,82.82,0.0,0.3333333333333333,0.10429447852760736
JP Faulkner (AUS),2013-2016,12,0.4166666666666667,22.416666666666668,38.42,116.95,0.08333333333333333,0.0,0.1565217391304348
Umar Amin (PAK),2010-2014,15,0.06666666666666667,17.933333333333334,19.21,69.32,0.0,0.06666666666666667,0.07731958762886598
JL Denly (ENG),2009-2009,9,0.0,29.77777777777778,29.77,65.52,0.0,0.2222222222222222,0.07823960880195599
R Gunasekera (CAN),2011-2014,11,0.0,24.363636363636363,24.36,69.25,0.0,0.36363636363636365,0.07751937984496124
Samiullah Shenwari (AFG),2009-2012,8,0.125,33.375,38.14,64.96,0.0,0.25,0.0681265206812652
AB Barath (WI),2011-2012,9,0.1111111111111111,29.22222222222222,32.87,68.48,0.1111111111111111,0.0,0.08333333333333333
Al Sahariar (BDESH),2001-2003,24,0.0,10.916666666666666,10.91,51.47,0.0,0.041666666666666664,0.068762278978389
HJW Gardiner (SCOT),2013-2015,11,0.0,23.818181818181817,23.81,66.16,0.0,0.18181818181818182,0.08333333333333333
JM Bairstow (ENG),2011-2015,10,0.2,26.0,32.50,94.54,0.0,0.1,0.10909090909090909
ML Udawatte (SL),2008-2008,9,0.0,28.555555555555557,28.55,67.10,0.0,0.2222222222222222,0.0731070496083551
ADS Fletcher (WI),2008-2010,15,0.0,17.066666666666666,17.06,70.13,0.0,0.13333333333333333,0.0958904109589041
P Utseya (ZIM),2009-2011,11,0.2727272727272727,23.272727272727273,32.00,73.14,0.0,0.2727272727272727,0.06285714285714286
Naved Latif (PAK),2001-2002,9,0.0,28.333333333333332,28.33,63.59,0.1111111111111111,0.0,0.08478802992518704
Shamsur Rahman (BDESH),2013-2014,8,0.0,31.75,31.75,77.43,0.0,0.25,0.09146341463414634
J Edness (BMUDA),2007-2008,11,0.18181818181818182,22.90909090909091,28.00,62.53,0.0,0.09090909090909091,0.062034739454094295
SM Davies (ENG),2009-2011,8,0.0,30.5,30.50,105.62,0.0,0.125,0.15584415584415584
Jahurul Islam (BDESH),2010-2012,11,0.09090909090909091,22.181818181818183,24.40,69.31,0.0,0.09090909090909091,0.06534090909090909
NS Poonia (SCOT),2006-2009,21,0.0,11.285714285714286,11.28,62.86,0.0,0.047619047619047616,0.08753315649867374
Khurram Manzoor (PAK),2008-2009,7,0.0,33.714285714285715,33.71,62.93,0.0,0.42857142857142855,0.056
PJ Moor (ZIM),2015-2016,11,0.0,21.454545454545453,21.45,68.40,0.0,0.18181818181818182,0.06956521739130435
P Mustard (ENG),2007-2008,10,0.0,23.3,23.30,92.46,0.0,0.1,0.13095238095238096
Afsar Zazai (AFG),2014-2015,13,0.07692307692307693,17.846153846153847,19.33,58.43,0.0,0.15384615384615385,0.037783375314861464
F Mutizwa (ZIM),2009-2011,10,0.1,22.9,25.44,74.11,0.0,0.2,0.0744336569579288
E Lewis (WI),2016-2016,5,0.0,44.8,44.80,98.24,0.2,0.0,0.13157894736842105
HM Nicholls (NZ),2015-2016,10,0.2,22.2,27.75,73.50,0.0,0.2,0.0695364238410596
PW Borren (NL),2006-2009,14,0.0,15.785714285714286,15.78,96.08,0.0,0.14285714285714285,0.11304347826086956
Y Venugopal Rao (INDIA),2005-2006,11,0.18181818181818182,19.818181818181817,24.22,60.05,0.0,0.09090909090909091,0.05234159779614325
KC Brathwaite (WI),2016-2016,7,0.0,31.0,31.00,57.86,0.0,0.14285714285714285,0.032
AD Russell (WI),2011-2014,8,0.375,27.0,43.20,133.33,0.0,0.125,0.19135802469135801
FRJ Coleman (SCOT),2013-2015,14,0.0,15.071428571428571,15.07,61.33,0.0,0.07142857142857142,0.06395348837209303
Mohammad Nabi (AFG),2009-2010,11,0.36363636363636365,19.181818181818183,30.14,89.40,0.0,0.18181818181818182,0.1016949152542373
AB Agarkar (INDIA),2001-2003,12,0.25,17.5,23.33,90.12,0.0,0.08333333333333333,0.11158798283261803
DO Obuya (KENYA),2001-2003,19,0.0,11.052631578947368,11.05,47.83,0.0,0.05263157894736842,0.05922551252847381
RS Sodhi (INDIA),2001-2002,10,0.1,21.0,23.33,76.08,0.0,0.1,0.06159420289855073
Shafiqullah (AFG),2010-2015,9,0.1111111111111111,23.22222222222222,26.12,94.14,0.0,0.1111111111111111,0.08558558558558559
L Siaka (PNG),2014-2016,5,0.0,41.8,41.80,92.47,0.2,0.0,0.11504424778761062
MHW Papps (NZ),2004-2005,6,0.3333333333333333,34.5,51.75,60.52,0.0,0.3333333333333333,0.07017543859649122
AR Berenger (UAE),2014-2015,10,0.0,20.5,20.50,67.43,0.0,0.2,0.08552631578947369
NT Broom (NZ),2009-2009,16,0.1875,12.5625,15.46,65.68,0.0,0.0,0.05555555555555555
JDS Neesham (NZ),2013-2015,10,0.5,20.0,40.00,104.16,0.0,0.0,0.11458333333333333
AJ Burger (NAM),2003-2003,6,0.0,33.166666666666664,33.16,100.50,0.0,0.16666666666666666,0.1414141414141414
CK Coventry (ZIM),2003-2006,10,0.0,19.9,19.90,85.77,0.0,0.1,0.11206896551724138
KL Rahul (INDIA),2016-2016,3,0.6666666666666666,65.33333333333333,196.00,83.40,0.3333333333333333,0.3333333333333333,0.07659574468085106
DC Thomas (WI),2011-2013,17,0.058823529411764705,11.529411764705882,12.25,61.44,0.0,0.0,0.05642633228840126
RW Chakabva (ZIM),2010-2013,15,0.0,13.0,13.00,46.98,0.0,0.0,0.02650602409638554
Sharjeel Khan (PAK),2013-2014,11,0.0,17.636363636363637,17.63,80.16,0.0,0.09090909090909091,0.11983471074380166
JO Holder (WI),2016-2016,9,0.3333333333333333,21.22222222222222,31.83,88.01,0.0,0.0,0.08294930875576037
Mudassar Bukhari (NL),2007-2009,7,0.0,27.0,27.00,67.98,0.0,0.2857142857142857,0.08633093525179857
Usman Limbada (CAN),2010-2014,11,0.09090909090909091,17.181818181818183,18.90,66.54,0.0,0.09090909090909091,0.07042253521126761
SD Hope (WI),2016-2016,4,0.0,46.75,46.75,73.33,0.25,0.0,0.06666666666666667
MN Waller (ZIM),2009-2009,11,0.09090909090909091,16.727272727272727,18.40,69.43,0.0,0.09090909090909091,0.0830188679245283
N Dickwella (SL),2014-2016,5,0.0,36.6,36.60,85.11,0.0,0.2,0.08837209302325581
AD Poynter (IRE),2008-2011,10,0.1,17.8,19.77,69.26,0.0,0.2,0.07003891050583658
BC Hollioake (ENG),2001-2002,10,0.2,17.4,21.75,73.10,0.0,0.1,0.07563025210084033
Gulbadin Naib (AFG),2012-2016,7,0.2857142857142857,24.428571428571427,34.20,96.61,0.0,0.14285714285714285,0.11299435028248588
SF Mire (ZIM),2014-2015,9,0.0,19.0,19.00,61.29,0.0,0.2222222222222222,0.053763440860215055
Tushar Imran (BDESH),2005-2007,17,0.0,10.058823529411764,10.05,49.70,0.0,0.0,0.05813953488372093
DR Flynn (NZ),2008-2009,13,0.15384615384615385,12.846153846153847,15.18,57.19,0.0,0.0,0.05136986301369863
MJ Santner (NZ),2015-2016,10,0.3,16.7,23.85,104.37,0.0,0.0,0.11875
TC Bastiampillai (CAN),2007-2010,11,0.0,14.818181818181818,14.81,63.42,0.0,0.0,0.10505836575875487
Saleem Elahi (PAK),2001-2001,6,0.0,26.833333333333332,26.83,65.71,0.0,0.16666666666666666,0.0653061224489796
PA Patel (INDIA),2010-2011,4,0.25,39.5,52.66,85.40,0.0,0.5,0.12432432432432433
SR Waters (KENYA),2010-2011,8,0.0,19.75,19.75,51.13,0.0,0.125,0.038834951456310676
KS Lokuarachchi (SL),2003-2007,8,0.125,19.5,22.28,86.66,0.0,0.125,0.06666666666666667
GJ Rennie (ZIM),2001-2001,9,0.2222222222222222,17.0,21.85,73.91,0.0,0.0,0.028985507246376812
SW Billings (ENG),2015-2016,5,0.0,30.4,30.40,110.94,0.0,0.2,0.12408759124087591
Hashmatullah Shahidi (AFG),2016-2016,6,0.0,25.333333333333332,25.33,54.67,0.0,0.16666666666666666,0.04316546762589928
MS Chapman (HKG),2015-2015,2,0.5,75.5,151.00,100.00,0.5,0.0,0.09271523178807947
JJ Atkinson (HKG),2014-2016,5,0.0,30.0,30.00,66.07,0.0,0.2,0.07488986784140969
DJG Sammy (WI),2008-2009,7,0.0,21.428571428571427,21.42,82.87,0.0,0.0,0.09392265193370165
Khalid Latif (PAK),2008-2010,5,0.0,29.4,29.40,64.47,0.0,0.2,0.05701754385964912
GM Strydom (ZIM),2006-2006,10,0.0,14.7,14.70,65.33,0.0,0.1,0.08888888888888889
A Symonds (AUS),2001-2001,7,0.14285714285714285,21.0,24.50,121.48,0.0,0.14285714285714285,0.1487603305785124
SE Findlay (WI),2008-2009,8,0.125,18.25,20.85,75.25,0.0,0.125,0.0979381443298969
Nasir Jamal (AFG),2014-2015,5,0.2,28.8,36.00,61.27,0.0,0.2,0.04680851063829787
JM How (NZ),2005-2006,5,0.0,28.2,28.20,65.58,0.0,0.4,0.09767441860465116
Manjural Islam Rana (BDESH),2004-2005,10,0.1,13.9,15.44,46.80,0.0,0.0,0.026936026936026935
JA Burns (AUS),2015-2015,3,0.0,45.0,45.00,90.60,0.0,0.3333333333333333,0.11409395973154363
MM Iqbal (SCOT),2010-2010,8,0.375,16.875,27.00,56.72,0.0,0.125,0.04201680672268908
Mashrafe Mortaza (BDESH),2005-2008,9,0.2222222222222222,14.88888888888889,19.14,147.25,0.0,0.0,0.1978021978021978
BB Chari (ZIM),2015-2016,8,0.0,16.0,16.00,44.75,0.0,0.0,0.024475524475524476
R Clarke (ENG),2003-2006,11,0.0,11.545454545454545,11.54,65.46,0.0,0.0,0.06701030927835051
AD Hales (ENG),2014-2014,7,0.0,18.0,18.00,70.39,0.0,0.0,0.0782122905027933
AR Patel (INDIA),2014-2016,8,0.25,15.75,21.00,95.45,0.0,0.0,0.08333333333333333
Liton Das (BDESH),2015-2015,9,0.1111111111111111,13.777777777777779,15.50,73.80,0.0,0.0,0.08333333333333333
A Maregwede (ZIM),2003-2005,11,0.09090909090909091,11.272727272727273,12.40,56.88,0.0,0.0,0.05504587155963303
SW Poynter (IRE),2014-2016,11,0.09090909090909091,11.272727272727273,12.40,71.67,0.0,0.0,0.06936416184971098
