,Player,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF,Class
0,WIA Fernando (Sri19),38,0.10526315789473684,36.28947368421053,40.55,87.94,0.10526315789473684,0.10526315789473684,0.10841836734693876,RS
1,Nazmul Hossain Shanto (BD19),37,0.21621621621621626,35.270270270270274,45.0,72.74,0.027027027027027032,0.2702702702702703,0.06856187290969899,RS
2,Saif Hassan (BD19),42,0.047619047619047616,26.857142857142854,28.2,56.34,0.047619047619047616,0.09523809523809523,0.06593406593406594,NRS
3,Pinak Ghosh (BD19),32,0.03125,31.3125,32.32,72.97,0.0625,0.15625,0.08375819373634377,RS
4,Mehidy Hasan Miraz (BD19),31,0.16129032258064516,30.548387096774192,36.42,86.88,0.0,0.3870967741935484,0.09541284403669724,RS
5,KIC Asalanka (Sri19),24,0.04166666666666666,36.79166666666666,38.39,74.2,0.0,0.375,0.08151260504201681,RS
6,MP Breetzke (SA19),19,0.0,44.73684210526316,44.73,73.46,0.15789473684210525,0.2631578947368421,0.08124459809853067,RS
7,Shubman Gill (Ind19),10,0.2,77.7,97.12,99.36,0.3,0.3,0.1329923273657289,NRS
8,SN Khan (Ind19),20,0.25,37.6,50.13,97.15,0.0,0.45,0.1124031007751938,RS
9,R van Tonder (SA19),20,0.15,37.45,44.05,71.4,0.05,0.25,0.07054337464251667,RS
10,Joyraz Sheik (BD19),27,0.07407407407407407,27.703703703703702,29.92,64.93,0.0,0.1851851851851852,0.08159722222222222,RS
11,PWA Mulder (SA19),26,0.1153846153846154,28.69230769230769,32.43,63.65,0.0,0.19230769230769232,0.06655290102389079,RS
12,S Ashan (Sri19),29,0.2413793103448276,24.96551724137931,32.9,77.59,0.03448275862068965,0.1724137931034483,0.06966773847802786,RS
13,DW Lawrence (ENG19),14,0.0,50.85714285714285,50.85,100.0,0.21428571428571427,0.2857142857142857,0.15168539325842698,RS
14,JR Doran (Aus19),16,0.3125,43.0,62.54,72.42,0.0625,0.25,0.06947368421052631,RS
15,PHKD Mendis (Sri19),35,0.11428571428571427,19.0,21.45,68.34,0.0,0.11428571428571427,0.06063720452209661,NRS
16,V Chathuranga (Sri19),19,0.0,32.736842105263165,32.73,93.39,0.05263157894736842,0.10526315789473684,0.13363363363363365,RS
17,Zakir Hasan (BD19),27,0.14814814814814814,21.703703703703702,25.47,73.25,0.0,0.14814814814814814,0.06375,RS
18,JTA Burnham (ENG19),13,0.07692307692307693,44.769230769230774,48.5,84.59,0.2307692307692308,0.07692307692307693,0.10901162790697674,RS
19,LP Smith (SA19),13,0.15384615384615385,40.692307692307686,48.09,64.43,0.07692307692307693,0.3076923076923077,0.0730816077953715,RS
20,WMK Bandara (Sri19),15,0.0,32.2,32.2,73.4,0.0,0.26666666666666666,0.0790273556231003,RS
21,AD Galiem (SA19),16,0.0625,29.625,31.6,74.29,0.0,0.25,0.061128526645768025,RS
22,W Makwetu (SA19),21,0.09523809523809523,22.428571428571423,24.78,79.56,0.047619047619047616,0.09523809523809523,0.0962837837837838,RS
23,H Hameed (ENG19),13,0.0,35.615384615384606,35.61,67.39,0.07692307692307693,0.15384615384615385,0.07569141193595343,RS
24,R Murray (Zim19),19,0.10526315789473684,24.105263157894736,26.94,75.2,0.0,0.15789473684210525,0.1116584564860427,RS
25,RR Pant (Ind19),11,0.0,41.27272727272727,41.27,110.46,0.09090909090909093,0.3636363636363637,0.18248175182481752,RS
26,HJ Rana (Ind19),14,0.0,32.285714285714285,32.28,86.25,0.07142857142857142,0.2857142857142857,0.11259541984732825,RS
27,Saif Badar (Pak19),10,0.2,43.4,54.25,83.46,0.0,0.4,0.08461538461538462,RS
28,Washington Sundar (Ind19),12,0.0,35.0,35.0,69.65,0.0,0.4166666666666667,0.06301824212271974,RS
29,Hasan Mohsin (Pak19),11,0.2727272727272727,38.0,52.25,88.18,0.09090909090909093,0.09090909090909093,0.0970464135021097,RS
30,CJ Taylor (ENG19),16,0.0625,24.1875,25.8,70.74,0.0,0.1875,0.07495429616087751,RS
31,GA Bartlett (ENG19),15,0.13333333333333333,24.8,28.61,81.4,0.0,0.2,0.08533916849015317,RS
32,KSW Arachchige (Sri19),13,0.0,28.23076923076923,28.23,63.93,0.0,0.2307692307692308,0.06445993031358885,RS
33,R Moonsamy (SA19),16,0.0,22.8125,22.81,68.22,0.0,0.1875,0.07476635514018691,RS
34,WMH Rhodes (ENG19),11,0.09090909090909093,32.81818181818182,36.1,69.28,0.0,0.2727272727272727,0.0690978886756238,RS
35,PP Shaw (Ind19),10,0.0,36.1,36.1,99.72,0.1,0.1,0.143646408839779,RS
36,HC Brook (ENG19),12,0.08333333333333333,29.33333333333333,32.0,85.43,0.0,0.25,0.1116504854368932,RS
37,SB Harper (Aus19),14,0.07142857142857142,23.857142857142854,25.69,83.08,0.07142857142857142,0.07142857142857142,0.09203980099502487,RS
38,Mohammad Saifuddin (BD19),23,0.21739130434782608,14.478260869565215,18.5,83.25,0.0,0.0,0.07,NRS
39,J Christensen (SA19),17,0.0,19.352941176470583,19.35,67.28,0.05882352941176471,0.0,0.0736196319018405,NRS
40,Tariq Stanikzai (AFG19),12,0.16666666666666666,27.25,32.7,64.75,0.08333333333333333,0.25,0.08118811881188119,RS
41,K Verreynne (SA19),14,0.14285714285714285,23.285714285714285,27.16,62.21,0.0,0.14285714285714285,0.05534351145038168,NRS
42,Zeeshan Malik (Pak19),12,0.08333333333333333,26.91666666666667,29.36,74.94,0.0,0.16666666666666666,0.1160092807424594,RS
43,FH Allen (NZ19),10,0.2,31.8,39.75,91.11,0.0,0.1,0.14040114613180515,RS
44,PVR de Silva (Sri19),11,0.09090909090909093,28.90909090909091,31.8,72.43,0.0,0.2727272727272727,0.06378132118451026,RS
45,J Ives (Zim19),10,0.2,31.6,39.5,65.56,0.0,0.1,0.08298755186721991,RS
46,KNA Bandara (Sri19),16,0.0625,19.125,20.4,54.15,0.0,0.0,0.04070796460176991,NRS
47,MW Short (Aus19),10,0.0,29.8,29.8,77.8,0.0,0.2,0.09399477806788513,RS
48,Ihsanullah (AFG19),12,0.08333333333333333,24.5,26.72,73.5,0.0,0.08333333333333333,0.1075,RS
49,D Foxcroft (SA19),12,0.0,24.33333333333333,24.33,63.89,0.08333333333333333,0.0,0.07658643326039387,NRS
50,S Samarawickrama (Sri19),10,0.0,29.2,29.2,80.0,0.0,0.4,0.09315068493150687,RS
51,Umair Masood (Pak19),12,0.08333333333333333,24.25,26.45,81.28,0.08333333333333333,0.0,0.10893854748603353,RS
52,H Dumindu (Sri19),10,0.1,29.0,32.22,69.37,0.1,0.1,0.06937799043062201,RS
53,SO Hetmyer (WI19),14,0.0,19.571428571428573,19.57,83.53,0.0,0.14285714285714285,0.11280487804878048,RS
54,M Van Buuren (SA19),11,0.2727272727272727,24.54545454545455,33.75,78.94,0.0,0.09090909090909093,0.06432748538011697,RS
55,PWH de Silva (Sri19),15,0.0,17.333333333333332,17.33,84.69,0.0,0.0,0.0781758957654723,NRS
56,H Boyagoda (Sri19),17,0.05882352941176471,15.117647058823529,16.06,60.75,0.0,0.1176470588235294,0.056737588652482275,NRS
57,Shafiul Hayet (BD19),10,0.1,25.6,28.44,74.85,0.0,0.2,0.07894736842105263,RS
58,J Morgan (Aus19),11,0.0,23.181818181818183,23.18,75.22,0.0,0.09090909090909093,0.09144542772861357,RS
59,AHT Donald (ENG19),13,0.07692307692307693,18.384615384615387,19.91,85.05,0.0,0.0,0.09252669039145907,NRS
60,JM Clarke (ENG19),10,0.1,23.8,26.44,84.69,0.0,0.0,0.09608540925266904,RS
61,RK Bhui (Ind19),15,0.13333333333333333,15.266666666666667,17.61,65.99,0.0,0.0,0.07204610951008646,NRS
62,RC Davies (ENG19),15,0.06666666666666668,15.266666666666667,16.35,59.17,0.0,0.06666666666666668,0.04651162790697674,NRS
63,Abhishek Sharma (Ind19),12,0.16666666666666666,18.75,22.5,71.2,0.0,0.0,0.06962025316455696,NRS
64,EWJ Stewart (WI19),10,0.1,21.2,23.55,64.83,0.0,0.1,0.0581039755351682,NRS
65,MK Lomror (Ind19),10,0.3,20.9,29.85,87.08,0.0,0.0,0.07916666666666666,NRS
66,T Banton (ENG19),10,0.0,20.4,20.4,77.56,0.0,0.2,0.09505703422053233,RS
67,MDE Holden (ENG19),15,0.0,13.533333333333333,13.53,57.5,0.0,0.06666666666666668,0.056657223796034,NRS
68,WG Jacks (ENG19),11,0.09090909090909093,18.363636363636363,20.2,92.23,0.0,0.09090909090909093,0.1232876712328767,RS
69,JA Tattersall (ENG19),10,0.0,20.0,20.0,68.96,0.0,0.1,0.06896551724137931,NRS
70,Ikram Faizi (AFG19),11,0.3636363636363637,17.636363636363637,27.71,66.21,0.09090909090909093,0.0,0.054607508532423216,NRS
71,EG Barnard (ENG19),11,0.09090909090909093,17.0,18.7,66.78,0.0,0.09090909090909093,0.06785714285714285,NRS
72,Ishan Kishan (Ind19),12,0.0,15.5,15.5,80.51,0.0,0.08333333333333333,0.11688311688311688,NRS
73,S Snyder (Zim19),10,0.0,18.4,18.4,63.44,0.0,0.2,0.0896551724137931,NRS
74,JL Finnie (NZ19),11,0.09090909090909093,16.181818181818183,17.8,66.41,0.0,0.0,0.0708955223880597,NRS
75,T de Zorzi (SA19),15,0.06666666666666668,11.0,11.78,46.34,0.0,0.0,0.033707865168539325,NRS
